symbol,status,source,created,updated
EURSGD,A,FIS,2017-06-03,NULL
GBPSGD,A,FIS,2017-06-03,NULL
HKDUSD,A,FIS,2017-06-03,NULL
SGDAUD,A,FIS,2017-11-28,NULL
SGDCAD,A,FIS,2017-11-28,NULL
SGDJPY,A,FIS,2017-11-28,NULL
SGDUSD,A,FIS,2017-06-03,NULL
USDEUR,A,FIS,2017-06-03,NULL
USDGBP,A,FIS,2017-06-03,NULL
