advisor,theme,status,displayname,sortorder,primary,taxable,model,baseCurrency,created,lastupdated
UOB,8.UOB,A,"Grow Wealth",4,Y,N,O,SGD,"2017-07-30 13:49:12",NULL
UOB,8.UOB.Sing,A,"Grow Wealth",3,Y,N,O,SGD,"2017-07-30 13:49:12",NULL
UOB,T.8.UOB,N,"Grow Wealth",6,Y,N,O,SGD,"2017-07-30 13:49:12",NULL
UOB,T.8.UOB.Sing,A,"Grow Wealth",5,Y,N,O,SGD,"2017-07-30 13:49:12",NULL
